ita,,srd,,,,,
bilancio,n,bilantzu,,bauladu,,,
comma,n,comma,,bauladu,,,
comunale,adj,comunale,,bauladu,,,
anno,n,annu,,bauladu,,,
deliberazione,n,deliberatzione,,bauladu,,,
legge,n,lege,,bauladu,,,
consiglio,n,cussìgiu,,bauladu,,,
articolo,n,artìculu,,bauladu,,,
previsione,n,previsione,,bauladu,,,
presente,nadj,presente,,bauladu,,,
programma,n,programma,,bauladu,,,
atto,n,àutu,,bauladu,,,
amministrazione,n,amministratzione,,bauladu,,,
data,n,data,,bauladu,,,
decreto,n,decretu,,bauladu,,,
riferimento,n,riferimentu,,bauladu,,,
servizio,n,servìtziu,,bauladu,,,
stato,n,istadu,,bauladu,,,
approvazione,n,aprovatzione,,bauladu,,,
gestione,n,gestione,,bauladu,,,
spesa,n,ispesa,,bauladu,,,
esercizio,n,esertzìtziu,,bauladu,,,
imposta,nadj,imposta,,bauladu,,,
servizio,n,servìtziu,,bauladu,,,
finanziario,adj,finantziàriu,,bauladu,,,
fabbricato,n,fràigu,,bauladu,,,
dicembre,n,nadale,,bauladu,,,
costo,n,costu,,bauladu,,,
oggetto,n,ogetu,,bauladu,,,
fondo,n,fundu,,bauladu,,,
comune,nadj,comunu,,bauladu,,,
titolo,n,tìtulu,,bauladu,,,
immondizia,n,àliga,,bauladu,,,
legislativo,n,legislativu,,bauladu,,,
totale,nadj,totale,,bauladu,,,
giunta,n,giunta,,bauladu,,,
pubblico,nadj,pùblicu,,bauladu,,,
società,n,sotziedade,,bauladu,,,
allegato,nadj,allegadu,,bauladu,,,
cambiamento,n,cambiamento,,bauladu,,,
lavoro,n,faina,,bauladu,,,
prossimo,adj,imbeniente,,bauladu,,,
aliquota,n,alìcuota,,bauladu,,,
approvato,adj,aprovadu,,bauladu,,,
competenza,n,cumpetèntzia,,bauladu,,,
ente,n,ente,,bauladu,,,
piano,nadj,pranu,,bauladu,,,
termine,n,tèrmine,,bauladu,,,
conto,n,contu,,bauladu,,,
maniera,n,manera,,bauladu,,,
regolamento,n,regulamentu,,bauladu,,,
tariffa,n,tarifa,,bauladu,,,
